episode,reward,success,steps,epsilon,avg100
1,-2225.0,0,300,0.997,-2225.0
2,-2115.5,0,300,0.994009,-2170.25
3,-2087.5,0,300,0.991026973,-2142.6666666666665
4,-2682.5,0,300,0.988053892081,-2277.625
5,-2645.5,0,300,0.985089730404757,-2351.2
6,-2435.0,0,300,0.9821344612135428,-2365.1666666666665
7,-2908.5,0,300,0.9791880578299021,-2442.785714285714
8,-2576.0,0,300,0.9762504936564125,-2459.4375
9,-2356.5,0,300,0.9733217421754432,-2448.0
10,-2602.5,0,300,0.9704017769489168,-2463.45
11,-2679.0,0,300,0.9674905716180701,-2483.0454545454545
12,-1854.0,0,300,0.9645880999032158,-2430.625
13,-2503.5,0,300,0.9616943356035061,-2436.230769230769
14,-2706.0,0,300,0.9588092525966956,-2455.5
15,-2173.0,0,300,0.9559328248389055,-2436.6666666666665
16,-2025.0,0,300,0.9530650263643888,-2410.9375
17,-2573.5,0,300,0.9502058312852957,-2420.5
18,-2884.5,0,300,0.9473552137914398,-2446.277777777778
19,-2312.0,0,300,0.9445131481500655,-2439.2105263157896
20,-1964.0,0,300,0.9416796087056153,-2415.45
21,-2134.5,0,300,0.9388545698794984,-2402.0714285714284
22,-2514.0,0,300,0.93603800616986,-2407.159090909091
23,-2267.5,0,300,0.9332298921513504,-2401.086956521739
24,-2407.5,0,300,0.9304302024748964,-2401.3541666666665
25,-2190.5,0,300,0.9276389118674717,-2392.92
26,-2536.0,0,300,0.9248559951318693,-2398.423076923077
27,-2009.5,0,300,0.9220814271464737,-2384.0185185185187
28,-1781.0,0,300,0.9193151828650342,-2362.4821428571427
29,-2350.0,0,300,0.9165572373164391,-2362.051724137931
30,-2694.0,0,300,0.9138075656044898,-2373.116666666667
31,-2169.0,0,300,0.9110661429076764,-2366.532258064516
32,-2373.0,0,300,0.9083329444789534,-2366.734375
33,-2317.0,0,300,0.9056079456455165,-2365.2272727272725
34,-2378.5,0,300,0.90289112180858,-2365.6176470588234
35,-2268.5,0,300,0.9001824484431542,-2362.842857142857
36,-2312.5,0,300,0.8974819010978248,-2361.4444444444443
37,-2014.5,0,300,0.8947894553945313,-2352.0675675675675
38,-2283.5,0,300,0.8921050870283477,-2350.2631578947367
39,-1590.0,0,300,0.8894287717672626,-2330.769230769231
40,-2377.0,0,300,0.8867604854519608,-2331.925
41,-1961.5,0,300,0.884100203995605,-2322.890243902439
42,-1936.5,0,300,0.8814479033836181,-2313.690476190476
43,-2376.5,0,300,0.8788035596734672,-2315.1511627906975
44,-1993.0,0,300,0.8761671489944468,-2307.8295454545455
45,-2186.0,0,300,0.8735386475474635,-2305.1222222222223
46,-2301.5,0,300,0.8709180316048211,-2305.0434782608695
47,-2844.5,0,300,0.8683052775100066,-2316.521276595745
48,-2092.5,0,300,0.8657003616774767,-2311.8541666666665
49,-2261.5,0,300,0.8631032605924442,-2310.826530612245
50,-1960.5,0,300,0.860513950810667,-2303.82
51,-1574.0,0,300,0.857932408958235,-2289.5098039215686
52,-2185.0,0,300,0.8553586117313603,-2287.5
53,-2283.0,0,300,0.8527925358961662,-2287.4150943396226
54,-2195.0,0,300,0.8502341582884777,-2285.703703703704
55,-2322.5,0,300,0.8476834558136123,-2286.3727272727274
56,-2017.0,0,300,0.8451404054461714,-2281.5625
57,-2011.0,0,300,0.8426049842298329,-2276.815789473684
58,-1857.0,0,300,0.8400771692771434,-2269.5775862068967
59,-1827.5,0,300,0.837556937769312,-2262.084745762712
60,-2571.5,0,300,0.835044266956004,-2267.241666666667
61,-2593.5,0,300,0.8325391341551359,-2272.590163934426
62,-1525.5,0,300,0.8300415167526705,-2260.5403225806454
63,-2023.0,0,300,0.8275513922024125,-2256.7698412698414
64,-1908.0,0,300,0.8250687380258053,-2251.3203125
65,-2305.5,0,300,0.8225935318117279,-2252.153846153846
